ra       dec         new_ra      new_dec         radius 
4.95       23.7725       4.9532039       +23.7727204       0.00512360720157       1276 
4.975       9.14083333333       4.9481605       +9.1674349       0.00415695202254       1285 
5.0       19.9908333333       4.9889936       +19.9811198       0.00273458082174       1286 
5.00041666667       -6.33527777778       5.0002033       -6.3336631       0.0063760550521       1288 
5.0       10.8686111111       5.0202059       +10.8794756       0.00537101210716       1292 
5.0       15.1019444444       4.9899311       +15.0922130       0.00330647444432       1293 
5.08458333333       7.70111111111       5.0838192       +7.7003758       0.0069900256676       1301 
5.09541666667       -14.0352777778       5.1005449       -14.0338348       0.00593204877812       1303 
5.10625       0.826666666667       5.1074167       0.8263611       0.00631508435187       1306 
5.11416666667       0.833055555556       5.114583       0.833556       0.00238696798049       1309 
5.175       -4.43333333333       5.1746062       -4.4330691       0.00516912516785       1326 
5.23291666667       21.8655555556       5.2311207       +21.8661906       0.00455258424127       1333 
5.24333333333       17.6891666667       5.2437179       +17.6886793       0.00477393596099       1337 
5.25       7.60583333333       5.2485678       +7.6177055       0.0018275617295       1346 
5.27791666667       26.5141666667       5.2768899       +26.5134046       0.0027604338152       1347 
5.3       30.4747222222       5.3053089       +30.4743800       0.00264353357638       1353 
5.32041666667       30.5069444444       5.3168064       +30.5060528       0.00545394221098       1359 
5.325       23.1086111111       5.3224217       +23.0956252       0.00396530036458       1362 
5.345       22.4355555556       5.3433582       +22.4335512       0.00843822122278       1371 
5.37166666667       22.5005555556       5.3708838       +22.5058770       0.0038817136729       1382 
5.37958333333       29.6605555556       5.3797495       +29.6621330       0.00386024061383       1387 
5.46541666667       22.4002777778       5.464167       22.4       0.00851382189208       1405 
5.5       22.4002777778       5.5131809       +22.4076484       0.00655349048397       1412 
5.5       23.7336111111       5.5211007       +23.7367747       0.0099273427903       1413 
5.5425       -4.34722222222       5.5425433       -4.3465261       0.00503643987383       1419 
5.55       20.6138888889       5.5624651       +20.6095475       0.00280173393785       1422 
5.575       6.44388888889       5.5630552       +6.4402732       0.00281626054821       1433 
5.60958333333       29.5030555556       5.6103690       +29.5042865       0.00564029693673       1439 
5.63875       28.1213888889       5.6371474       +28.1210798       0.00387235825378       1450 
5.69083333333       24.1513888889       5.7081982       +24.1522303       0.00608497727106       1462 
5.7       6.96944444444       5.7069634       +6.9645205       0.0040835925986       1464 
5.7       25.2130555556       5.6830287       +25.2184181       0.0038945406794       1472 
5.7375       16.2527777778       5.7378194       +16.2530844       0.00477393596099       1478 
5.75       2.43583333333       5.7469598       +2.4580878       0.00179502093633       1485 
5.79666666667       27.4327777778       5.7948897       +27.4327413       0.00345270416881       1491 
5.79666666667       24.9547222222       5.7857419       +24.9646170       0.00223863443123       1495 
5.825       35.1425       5.8343280       +35.1732766       0.00166212627109       1498 
5.875       20.2425       5.8939777       +20.2411371       0.00390461712749       1502 
5.95       14.6872222222       5.9508139       +14.6843735       0.00532353011694       1511 
5.97416666667       28.3316666667       5.9726340       +28.3330524       0.00358540819979       1516 
5.975       24.3030555556       5.9857256       +24.3053659       0.00573067502702       1520 
5.99875       15.7694444444       5.9976019       +15.7704394       0.00680598766433       1523 
6.00958333333       25.6622222222       6.0094428       +25.6625772       0.00281626054821       1524 
6.01083333333       16.4858333333       6.0106873       +16.4858020       0.0319118317812       1525 
6.16166666667       33.2527777778       6.1611798       +33.2561167       0.0059172537076       1546 
6.17916666667       14.8222222222       6.1780659       +14.8248362       0.00465370675351       1550 
6.19416666667       29.5602777778       6.1935077       +29.5603617       0.00541054145052       1552 
6.225       6.66027777778       6.2201504       +6.6484691       0.00317258329218       1566 
6.265       31.3447222222       6.2638650       +31.3451609       0.007096454919       1572 
6.37291666667       -14.5536111111       6.3738463       -14.5537760       0.00675606423059       1575 
6.3       6.48694444444       6.2916254       +6.4904001       0.0132380047011       1577 
6.32083333333       12.885       6.3198164       +12.8837885       0.00541417146867       1583 
6.37083333333       20.2375       6.3696174       +20.2377909       0.00882739118082       1591 
6.375       24.8216666667       6.3745277       +24.8122711       0.00451357708854       1594 
6.44958333333       -2.28472222222       6.4488389       -2.2849465       0.00928497852891       1609 
6.45       5.41333333333       6.4586139       +5.4153668       0.00487108540774       1611 
6.45       25.7233333333       6.4613728       +25.7171905       0.00347756448325       1614 
6.49541666667       14.3475       6.4956205       +14.3477794       0.00376831693642       1621 
6.5125       25.7188888889       6.524792       25.719333       0.00834529278457       1625 
6.53       25.725       6.52708       25.72222       0.00988340142678       1627 
6.53416666667       25.66       6.5394888       +25.6609204       0.00209350940912       1628 
6.52875       16.4366666667       6.5288410       +16.4369626       0.00555389187546       1632 
6.5725       -4.4925       6.5723784       -4.4921151       0.00710581924699       1634 
6.6       6.2925       6.6102056       +6.2830474       0.00795495579833       1638 
6.70375       31.7030555556       6.7030484       +31.7032723       0.00552196249757       1654 
6.72791666667       -2.50138888889       6.7277140       -2.5009353       0.00693554498347       1656 
6.76208333333       11.5841666667       6.762167       11.583806       0.0104782257156       1665 
6.8       24.1669444444       6.8159086       +24.1748724       0.00341396786314       1675 
6.87583333333       -1.51388888889       6.8753993       -1.5135016       0.00606283236404       1693 
6.89291666667       8.87472222222       6.8974027       +8.8772351       0.00608497727106       1700 
6.95791666667       -1.2       6.9578270       -1.2001030       0.00742776308212       1713 
6.975       30.6102777778       6.9684674       +30.6013194       0.00341971789406       1720 
6.99041666667       32.7763888889       6.9896375       +32.7748649       0.00497849232806       1721 
6.99375       2.50694444444       6.9943521       +2.5072048       0.00892156585476       1723 
7.0625       30.8022222222       7.0634534       +30.8029866       0.00728975114847       1736 
7.05       3.21888888889       7.0581268       +3.2315816       0.00663963388625       1737 
7.05       31.1994444444       7.0670661       +31.1984814       0.00466765023251       1739 
7.09041666667       3.38888888889       7.075033       3.383686       0.00549809993778       1741 
7.075       27.3888888889       7.0890199       +27.3726325       0.00295300256886       1743 
7.07708333333       3.38305555556       7.090542       3.389667       0.0081875149422       1746 
7.075       -0.233055555556       7.0849926       -0.2197815       0.00509669436254       1747 
7.0925       2.52638888889       7.0921673       +2.5267805       0.00570291700991       1748 
7.12958333333       33.2716666667       7.1429764       +33.2724381       0.0074334579725       1754 
7.2       28.9477777778       7.2119635       +28.9398202       0.00370685528615       1771 
7.21       2.83972222222       7.2093818       +2.8387011       0.00976154281873       1772 
7.28375       15.9002777778       7.2835009       +15.9005309       0.00657007346244       1781 
7.28375       31.0041666667       7.2793890       +31.0028176       0.0059287358519       1782 
7.28416666667       2.81055555556       7.2837689       +2.8110298       0.00346188400239       1784 
7.30083333333       2.8725       7.301543       2.872708       0.003894152603       1787 
7.30333333333       33.1019444444       7.3021851       +33.1041882       0.00422439082231       1788 
7.3125       2.86527777778       7.31275       2.864056       0.0144094418187       1791 
7.32666666667       2.86972222222       7.327292       2.870444       0.00304819571053       1794 
7.34625       31.3930555556       7.3467029       +31.3824623       0.00516327443008       1797 
7.375       -1.09305555556       7.3865031       -1.0952055       0.00366379615551       1805 
7.42833333333       21.4725       7.4332930       +21.4762194       0.00424437791312       1817 
7.47291666667       31.3927777778       7.4726303       +31.3932733       0.00516912516785       1828 
7.525       -11.1094444444       7.5305047       -11.1134626       0.00905807347192       1841 
7.54458333333       2.09361111111       7.5442782       +2.0930392       0.00863351110868       1844 
7.575       25.0838888889       7.5468028       +25.0773616       0.00179754498858       1848 
7.62416666667       -8.78388888889       7.6241260       -8.7833058       0.00481930701618       1862 
7.62416666667       23.1158333333       7.6276461       +23.1168375       0.00587032828471       1863 
7.66291666667       12.6802777778       7.6630047       +12.6806224       0.00413909921651       1868 
7.6425       13.3658333333       7.6424548       +13.3658467       0.00732016360387       1869 
7.7       10.6605555556       7.6953935       +10.6470301       0.00335141931815       1882 
7.725       -7.22583333333       7.7385839       -7.2203672       0.00205415695904       1886 
7.74208333333       10.2088888889       7.7419778       +10.2083415       0.00692027468064       1888 
7.725       5.17555555556       7.7467622       +5.1597882       0.00649395313036       1889 
7.79375       4.50555555556       7.7898012       +4.5033245       0.00303577533571       1903 
7.80041666667       -0.406944444444       7.8003877       -0.4073458       0.00431955546094       1905 
7.80875       -7.84138888889       7.8087393       -7.8408736       0.0059926293082       1908 
7.8       -10.4747222222       7.8054302       -10.4810744       0.00576669173492       1909 
7.82666666667       28.9925       7.8233859       +28.9926325       0.00526099056709       1913 
7.82916666667       8.47555555556       7.8285599       +8.4749670       0.00364062305373       1914 
7.83541666667       30.79       7.8352876       +30.7921106       0.00863911092189       1916 
7.85       8.46805555556       7.849625       8.466833       0.00790005130617       1921 
7.85708333333       6.20722222222       7.8585234       +6.2066610       0.00630214800981       1924 
7.86916666667       -19.7641666667       7.8673493       -19.7615449       0.0061607539356       1926 
7.8725       8.40055555556       7.8722674       +8.4007243       0.0060770243485       1927 
7.89875       14.6116666667       7.9030172       +14.6161152       0.00338774891287       1933 
7.91       8.39055555556       7.9096572       +8.3905617       0.00401341228898       1934 
7.9       0.927777777778       7.9093297       +0.9193685       0.00199215570318       1936 
7.925       -2.51111111111       7.9552183       -2.5317321       0.00527590725512       1940 
7.99       -8.34388888889       7.9903033       -8.3441421       0.00624384484063       1953 
8.05083333333       31.6813888889       8.0507016       +31.6815024       0.00562446581113       1957 
8.05083333333       31.4166666667       8.0504433       +31.4164959       0.00612236573573       1958 
8.1       2.5725       8.1288147       +2.5742840       0.00688634136611       1970 
8.125       23.4058333333       8.1352761       +23.3948933       0.00402657043679       1971 
8.17791666667       26.1183333333       8.1834977       +26.1180618       0.00472333249757       1981 
8.265       -8.11444444444       8.2667784       -8.1138981       0.00643503924117       1996 
8.275       7.91305555556       8.3064750       +7.9090134       0.00276863395352       2003 
8.34166666667       -1.12111111111       8.3420392       -1.1216539       0.00681663797429       2016 
8.40041666667       2.68055555556       8.4008244       +2.6812140       0.0123235928429       2022 
8.42458333333       39.5447222222       8.4242853       +39.5448722       0.00681818975453       2026 
8.425       7.24472222222       8.4474875       +7.2486654       0.00395881581344       2027 
8.45       30.7280555556       8.4594746       +30.7234024       0.00427736442408       2028 
8.51166666667       -9.70555555556       8.5114169       -9.7053453       0.0219721869656       2035 
8.53166666667       -21.4358333333       8.5345       -21.435528       0.00380622651668       2040 
